,mating.ID,cohort,female.ID,female.group,female.age,female.wt,male.ID,male.qual,male.age,male.wt,mating.order,date,scorer,gift.wt,trial.dur,female.aggression,male.w.gift,mating.success,gift.acceptance,signal,wrapping,rubbing,latency.gift,latency.cop,cop.duration
76,192x223,4,192,LH,16,0.1746,223,L,18,0.063,1,5/25/2023,MMO,0.0135,2423,N,0,0,0,1,0,0,NA,NA,0
77,194x170,4,194,LH,16,0.1618,170,H,18,0.096,2,5/26/2023,MMO,0.0104,2400,N,0,0,0,0,0,0,NA,NA,0
78,194x171,4,194,LH,16,0.1618,171,L,18,0.0932,1,5/25/2023,DB,0.0139,7290,N,0,1,1,0,1,1,520,589,5778
79,174x231,5,174,HL,17,0.1028,231,H,18,0.091,1,5/28/2023,DB,0.007,3121,N,0,1,1,1,0,0,250,449,2092
80,174x233,5,174,HL,17,0.1028,233,L,17,0.0836,2,5/29/2023,PH,0.0024,2397,N,0,0,0,0,0,0,NA,209,135
81,175x232,5,175,LH,17,0.129,232,H,19,0.083,2,5/29/2023,PH,0.0035,7573,N,0,1,1,1,0,0,1773,2819,4561
82,175x245,5,175,LH,17,0.129,245,L,18,0.1065,1,5/28/2023,DB,0.0052,4550,N,0,1,1,1,1,1,367,487,3743
83,176x221,5,176,HL,17,0.1474,221,H,17,0.0729,1,5/28/2023,DB,0.0069,795,Y,0,0,0,1,1,1,NA,NA,0
84,176x247,5,176,HL,17,0.1474,247,L,18,0.0731,2,5/29/2023,PH,0.0081,3470,N,1,1,1,1,0,0,1902,313,1940
85,188x234,5,188,HL,18,0.16,234,H,18,0.12,1,5/28/2023,DB,0.0064,5917,N,1,1,1,0,1,1,397,1044,4760
86,189x234,5,189,LH,18,0.1215,234,H,18,0.12,2,5/29/2023,PH,0.0106,2538,N,1,0,1,0,1,0,2344,NA,0
87,189x247,5,189,LH,18,0.1215,247,L,18,0.0731,1,5/28/2023,DB,0.0083,2401,N,1,1,1,1,1,0,603,671,1003
88,190x173,5,190,LH,18,0.1449,173,H,18,0.1096,2,5/29/2023,DB,0.0049,2459,N,0,0,0,0,0,0,NA,NA,0
89,190x228,5,190,LH,18,0.1449,228,L,19,0.1097,1,5/28/2023,DB,0.0063,4147,N,0,1,1,0,1,1,385,153,3120
90,193x221,5,193,LH,18,0.1651,221,H,17,0.0729,2,5/29/2023,DB,0.0167,8040,N,1,1,1,0,0,0,21,1409,6041
91,193x233,5,193,LH,18,0.1651,233,L,17,0.0836,1,5/28/2023,DB,0.0042,6677,N,0,1,1,1,1,1,1726,1805,4541
92,200x173,5,200,HL,18,0.1537,173,H,18,0.1096,1,5/28/2023,DB,0.0075,4132,N,1,1,1,1,1,1,410,545,2905
93,200x245,5,200,HL,18,0.1537,245,L,18,0.1065,2,5/29/2023,DB,0.014,3522,N,0,1,1,1,1,1,583,772,2501
94,51x231,5,51,LH,17,0.1594,231,H,18,0.091,2,5/29/2023,DB,0.0088,2433,N,0,0,0,1,0,0,NA,NA,0
95,51x81,5,51,LH,17,0.1594,81,L,18,0.0992,1,5/28/2023,DB,0.0089,3821,N,0,1,1,0,0,0,289,298,1975
96,71x228,5,71,HL,17,0.1276,228,L,19,0.1097,2,5/29/2023,DB,0.0061,2392,N,0,0,0,1,0,1,NA,NA,0
97,71x232,5,71,HL,17,0.1276,232,H,19,0.083,1,5/28/2023,DB,0.01,4916,N,1,1,1,1,0,1,466,597,3802
98,154x222,6,154,LH,24,0.1214,222,H,19,0.0798,2,6/1/2023,DB,0.0108,2403,N,0,0,0,1,1,1,NA,NA,0
99,154x248,6,154,LH,24,0.1214,248,L,13,0.1038,1,5/31/2023,DB,0.0182,2406,N,1,1,1,1,1,1,410,635,987
100,196x127,6,196,HL,19,0.1574,127,H,17,0.0958,1,5/31/2023,DB,0.0035,2465,N,0,1,1,0,1,1,1236,234,1251
101,196x219,6,196,HL,19,0.1574,219,L,19,0.0941,2,6/1/2023,DB,0.0152,7260,N,1,1,1,1,0,0,98,292,6672
102,197x236,6,197,LH,20,0.1472,236,L,20,0.111,1,5/31/2023,DB,0.0144,4101,N,1,1,1,0,0,0,139,500,2171
103,197x238,6,197,LH,20,0.1472,238,H,20,0.1025,2,6/1/2023,DB,0.0053,4554,N,0,1,1,1,1,1,646,847,3056
104,202x127,6,202,LH,20,0.1434,127,H,17,0.0958,2,6/1/2023,DB,0.0061,2392,N,1,1,1,0,0,0,16,38,379
105,202x219,6,202,LH,20,0.1434,219,L,19,0.0941,1,5/31/2023,DB,0.0031,2409,N,1,1,1,1,0,1,170,298,1798
106,208x249,6,208,HL,20,0.1648,249,H,13,0.1171,1,5/31/2023,DB,0.0031,4436,N,1,1,1,1,1,1,634,984,2815
107,208x266,6,208,HL,20,0.1648,266,L,19,0.0962,2,6/1/2023,DB,0.0156,6054,N,0,1,1,1,1,1,1701,1990,3742
108,209x249,6,209,LH,20,0.1919,249,H,13,0.1171,2,6/1/2023,DB,0.0047,3522,N,1,1,1,0,0,0,16,729,2097
109,209x250,6,209,LH,20,0.1919,250,L,13,0.0979,1,5/31/2023,DB,0.0034,4251,N,1,1,1,1,0,1,561,723,2653
110,213x250,6,213,HL,20,0.1533,250,L,13,0.0979,2,6/1/2023,DB,0.0122,4229,N,1,1,1,0,0,0,19,99,3406
111,213x59,6,213,HL,20,0.1533,59,H,16,0.0779,1,5/31/2023,DB,0.0069,2391,N,0,1,1,0,0,0,132,357,1318
112,263x236,6,263,HL,15,0.1464,236,L,20,0.111,2,6/1/2023,DB,0.0139,2411,N,0,0,0,1,0,0,NA,NA,0
113,263x238,6,263,HL,15,0.1464,238,H,20,0.1025,1,5/31/2023,DB,0.0068,3174,N,1,1,1,1,0,1,232,372,2223
114,91x222,6,91,HL,19,0.1231,222,H,19,0.0798,1,5/31/2023,DB,0.0107,4460,N,1,1,1,1,1,1,564,650,3712
115,91x248,6,91,HL,19,0.1231,248,L,13,0.1038,2,6/1/2023,DB,0.0125,5998,N,1,1,1,1,1,1,581,773,4785
